iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
590	242	289	242	340	242	289	340
591	242	289	242	340	242	289	340
592	242	289	242	340	242	289	340
593	242	289	242	340	242	289	340
594	242	289	242	340	242	289	340
595	242	289	242	340	242	289	340
596	242	289	242	340	242	289	340
597	242	289	242	340	242	289	340
598	242	289	242	340	242	289	340
599	242	289	242	340	242	289	340
600	242	289	242	340	242	289	340
601	242	289	242	340	242	289	340
602	242	288	242	340	242	288	340
603	242	288	242	340	242	288	340
604	242	288	242	340	242	288	340
605	242	288	242	340	242	288	340
606	242	288	242	340	242	288	340
607	242	288	242	340	242	288	340
608	242	288	242	340	242	288	340
609	243	289	243	340	243	289	340
610	243	289	243	340	243	289	340
611	243	289	243	340	243	289	340
612	243	289	243	340	243	289	340
613	242	288	242	340	242	288	340
614	243	289	243	340	243	289	340
615	243	289	243	340	243	289	340
616	243	289	243	340	243	289	340
617	243	289	243	340	243	289	340
618	243	289	243	340	243	289	340
619	243	289	243	340	243	289	340
620	243	289	243	340	243	289	340
621	243	289	243	340	243	289	340
622	243	289	243	340	243	289	340
623	243	289	243	340	243	289	340
624	243	289	243	340	243	289	340
625	243	289	243	340	243	289	340
626	243	289	243	340	243	289	340
627	243	289	243	340	243	289	340
628	243	289	243	340	243	289	340
629	243	289	243	340	243	289	340
630	242	288	242	340	242	288	340
631	241	287	241	340	241	287	340
632	241	287	241	340	241	287	340
633	241	287	241	340	241	287	340
634	241	287	241	340	241	287	340
635	241	287	241	340	241	287	340
636	241	286	241	340	241	286	340
637	242	287	242	340	242	287	340
638	242	287	242	340	242	287	340
639	242	287	242	340	242	287	340
640	242	287	242	340	242	287	340
641	242	287	242	340	242	287	340
642	242	287	242	340	242	287	340
643	241	286	241	340	241	286	340
644	241	286	241	340	241	286	340
645	241	286	241	340	241	286	340
646	241	286	241	340	241	286	340
647	241	286	241	340	241	286	340
648	241	286	241	340	241	286	340
649	241	286	241	340	241	286	340
650	241	286	241	340	241	286	340
651	241	286	241	340	241	286	340
652	241	286	241	340	241	286	340
653	241	286	241	340	241	286	340
654	241	286	241	340	241	286	340
655	241	286	241	340	241	286	340
656	241	286	241	340	241	286	340
657	241	286	241	340	241	286	340
658	241	286	241	340	241	286	340
659	242	287	242	340	242	287	340
660	242	287	242	340	242	287	340
661	241	286	241	340	241	286	340
662	242	287	242	340	242	287	340
663	242	287	242	340	242	287	340
664	242	287	242	340	242	287	340
665	242	287	242	340	242	287	340
666	242	287	242	340	242	287	340
667	242	287	242	340	242	287	340
668	242	287	242	340	242	287	340
669	242	287	242	340	242	287	340
670	242	287	242	340	242	287	340
671	242	287	242	340	242	287	340
672	242	287	242	340	242	287	340
673	242	287	242	340	242	287	340
674	242	287	242	340	242	287	340
675	242	287	242	340	242	287	340
676	242	287	242	340	242	287	340
677	242	287	242	340	242	287	340
678	242	287	242	340	242	287	340
679	242	287	242	340	242	287	340
680	242	287	242	340	242	287	340
681	242	287	242	340	242	287	340
682	242	287	242	340	242	287	340
683	242	287	242	340	242	287	340
684	242	287	242	340	242	287	340
685	242	287	242	340	242	287	340
686	243	288	243	340	243	288	340
687	243	288	243	340	243	288	340
688	242	287	242	340	242	287	340
